Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS Help,,,,2023-09-01 16:08:41,2023-09-01 16:09:59,1m - 17.794s,PASSED
,,,,,,,
Test Cases/Solodroid_E-CommerceApp Demo/TC Help/TC_help,,,,2023-09-01 16:08:41,2023-09-01 16:09:26,45.130s,PASSED
"callTestCase(findTestCase(""Solodroid_E-CommerceApp Demo/reusable-test/Launch AUT-from existing""), [:], STOP_ON_FAILURE)",,,,2023-09-01 16:08:42,2023-09-01 16:09:02,20.498s,PASSED
"tap(findTestObject(""General/btn_help""), 0)",,,,2023-09-01 16:09:02,2023-09-01 16:09:07,4.599s,PASSED
"waitForElementPresent(findTestObject(""Help/title - Help""), 0)",,,,2023-09-01 16:09:07,2023-09-01 16:09:08,0.920s,PASSED
"callTestCase(findTestCase(""Solodroid_E-CommerceApp Demo/TC Help/reusable-test help/TC_verify element help""), [:], STOP_ON_FAILURE)",,,,2023-09-01 16:09:08,2023-09-01 16:09:11,3.362s,PASSED
"waitForElementPresent(findTestObject(""Help/title - Help""), 0)",,,,2023-09-01 16:09:11,2023-09-01 16:09:11,0.198s,PASSED
"tap(findTestObject(""Help/btn_how to order""), 0)",,,,2023-09-01 16:09:11,2023-09-01 16:09:12,0.232s,PASSED
"waitForElementPresent(findTestObject(""Help/How to Order/title - How to order""), 0)",,,,2023-09-01 16:09:12,2023-09-01 16:09:14,2.148s,PASSED
"verifyElementVisible(findTestObject(""Help/How to Order/title - How to order""), 0)",,,,2023-09-01 16:09:14,2023-09-01 16:09:14,0.229s,PASSED
"verifyElementVisible(findTestObject(""Help/How to Order/text_headline""), 0)",,,,2023-09-01 16:09:14,2023-09-01 16:09:14,0.158s,PASSED
"verifyElementVisible(findTestObject(""Help/How to Order/text_body""), 0)",,,,2023-09-01 16:09:14,2023-09-01 16:09:14,0.204s,PASSED
pressBack(),,,,2023-09-01 16:09:14,2023-09-01 16:09:15,0.202s,PASSED
"waitForElementPresent(findTestObject(""Help/title - Help""), 0)",,,,2023-09-01 16:09:15,2023-09-01 16:09:15,0.623s,PASSED
"tap(findTestObject(""Help/btn_payment""), 0)",,,,2023-09-01 16:09:15,2023-09-01 16:09:15,0.197s,PASSED
